search_word,image,ver,option 1,option 2
iphone 11,iphone_11.jpeg,base,64GB.128GB,
iphone 12,iphone_12.jpeg,base,64GB.128GB,
iphone 13,iphone_13.jpeg,base,64GB.128GB,
iphone 14,iphone_14.jpeg,base.Pro.Pro Max,128GB,
iphone 15,iphone_15.jpeg,base.Pro.Pro Max,128GB.256GB,
galaxy s20,galaxy_s20_fe.jpeg,FE,256GB,
galaxy s21,galaxy_s21_fe.jpeg,FE,128GB.256GB,
galaxy s22,galaxy_s22.jpeg,base.Plus.Ultra,128GB.256GB.512GB,
galsxy s23,galaxy_s23.jpeg,base.Plus.Ultra,128GB.256GB.512GB,
galaxy z flip 4,galaxy_zflip_4.jpeg,,128GB.256GB,
galaxy z flip 5,galaxy_zflip_5.jpeg,,,
galaxy a34,galaxy_a34.jpeg,,128GB.256GB,
galaxy a53,galaxy_a53.jpeg,,128GB,
galaxy a54,galaxy_a54.jpeg,,128GB.256GB,
xiaomi redmi note11,redmi_note11.jpeg,base.Pro,64GB.128GB,4GB.8GB
xiamoi redmi note12,redmi_note12.jpeg,base.Pro,128GB.256GB,4GB.8GB
oppo a54,oppo_a54.jpeg,,128GB.256GB,4GB.8GB
oppo a57,oppo_a57.jpeg,,64GB.128GB,
oppo a58,oppo_a58.jpeg,,128GB,
oppo a77s,oppo_a77s.jpeg,,128GB,
oppo a78,oppo_a78.jpeg,,256GB,
realme 11,realme_11.jpeg,base.Pro,128GB.256GB,
realme c55,realme_c55.jpeg,,128GB.256GB,6GB.8GB
vivo v25e,vivo_v25e.png,,128GB,
vivo v27e,vivo_v27e.jpeg,,256GB,
vivo y17s,vivo_y17s.jpeg,,128GB,
vivo y33s,vivo_y33s.jpeg,,128GB,
vivo y36,vivo_y36.jpeg,,128GB,
vivo y72,vivo_y72.jpeg,,128GB,
